날짜,종가,오픈,고가,저가,거래량,변동 %
2023년 01월 13일,"19,927.00","18,850.80","19,981.60","18,723.80",426.67K,5.71%
2023년 01월 12일,"18,851.30","17,941.00","19,055.30","17,915.50",522.01K,5.07%
2023년 01월 11일,"17,942.30","17,440.50","17,989.80","17,323.90",291.53K,2.89%
2023년 01월 10일,"17,439.10","17,180.10","17,491.00","17,151.70",247.14K,1.51%
2023년 01월 09일,"17,180.10","17,119.00","17,390.80","17,107.10",301.24K,0.36%
2023년 01월 08일,"17,119.00","16,943.60","17,119.00","16,913.80",144.84K,1.04%
2023년 01월 07일,"16,943.60","16,950.90","16,979.60","16,909.70",110.48K,-0.04%
2023년 01월 06일,"16,950.90","16,829.80","17,012.30","16,707.60",233.47K,0.72%
2023년 01월 05일,"16,829.80","16,852.20","16,877.90","16,772.30",178.96K,-0.13%
2023년 01월 04일,"16,852.10","16,674.20","16,976.50","16,656.50",247.39K,1.07%
2023년 01월 03일,"16,674.20","16,673.10","16,773.20","16,607.20",178.73K,0.00%
2023년 01월 02일,"16,674.30","16,618.40","16,766.90","16,551.00",136.03K,0.34%
2023년 01월 01일,"16,618.40","16,537.50","16,621.90","16,499.70",107.84K,0.49%
2022년 12월 31일,"16,537.40","16,607.20","16,635.90","16,487.30",130.44K,-0.42%
2022년 12월 30일,"16,607.20","16,636.40","16,644.40","16,360.00",192.76K,-0.18%
2022년 12월 29일,"16,636.40","16,546.20","16,659.10","16,496.60",181.47K,0.55%
2022년 12월 28일,"16,546.20","16,705.90","16,781.10","16,474.20",217.96K,-0.96%
2022년 12월 27일,"16,706.10","16,918.20","16,964.00","16,610.10",192.18K,-1.25%
2022년 12월 26일,"16,918.10","16,831.80","16,936.10","16,799.40",133.36K,0.51%
2022년 12월 25일,"16,831.80","16,835.70","16,852.90","16,733.00",132.89K,-0.03%
2022년 12월 24일,"16,837.20","16,778.60","16,855.80","16,777.80",110.12K,0.35%
2022년 12월 23일,"16,779.10","16,820.50","16,910.70","16,768.00",184.12K,-0.25%
2022년 12월 22일,"16,820.60","16,831.80","16,862.20","16,566.10",198.28K,-0.07%
2022년 12월 21일,"16,831.80","16,902.70","16,919.40","16,735.00",174.34K,-0.42%
2022년 12월 20일,"16,902.80","16,441.30","17,031.30","16,400.70",284.57K,2.81%
2022년 12월 19일,"16,441.30","16,741.10","16,809.50","16,331.20",207.93K,-1.79%
2022년 12월 18일,"16,741.10","16,777.00","16,825.70","16,666.50",124.29K,-0.21%
2022년 12월 17일,"16,777.10","16,629.00","16,794.40","16,587.00",164.49K,0.89%
2022년 12월 16일,"16,629.60","17,356.70","17,518.50","16,542.40",303.56K,-4.19%
2022년 12월 15일,"17,356.10","17,796.40","17,846.10","17,298.20",263.44K,-2.47%
2022년 12월 14일,"17,796.40","17,778.60","18,351.80","17,682.10",318.98K,0.10%
2022년 12월 13일,"17,778.60","17,210.90","17,951.60","17,094.50",328.71K,3.30%
2022년 12월 12일,"17,210.40","17,093.20","17,232.50","16,878.50",249.39K,0.68%
2022년 12월 11일,"17,093.30","17,127.00","17,262.90","17,080.60",167.20K,-0.20%
2022년 12월 10일,"17,127.20","17,125.70","17,220.50","17,105.70",148.81K,0.01%
2022년 12월 09일,"17,125.70","17,225.60","17,288.60","17,082.10",260.84K,-0.58%
2022년 12월 08일,"17,225.70","16,835.20","17,294.20","16,765.80",261.64K,2.32%
2022년 12월 07일,"16,835.20","17,089.40","17,126.70","16,715.30",244.36K,-1.49%
2022년 12월 06일,"17,089.30","16,966.30","17,101.10","16,914.90",246.19K,0.72%
2022년 12월 05일,"16,966.50","17,106.90","17,395.20","16,886.90",268.72K,-0.85%
2022년 12월 04일,"17,112.60","16,884.80","17,198.10","16,881.60",197.12K,1.35%
2022년 12월 03일,"16,884.50","17,093.40","17,132.60","16,862.10",169.29K,-1.22%
2022년 12월 02일,"17,093.60","16,972.20","17,096.20","16,799.90",227.01K,0.72%
2022년 12월 01일,"16,972.00","17,163.40","17,244.70","16,868.90",266.14K,-1.12%
2022년 11월 30일,"17,163.90","16,440.80","17,215.50","16,433.20",348.22K,4.40%
2022년 11월 29일,"16,440.40","16,211.90","16,531.40","16,100.10",271.58K,1.41%
2022년 11월 28일,"16,211.70","16,426.10","16,481.40","16,013.50",284.84K,-1.30%
2022년 11월 27일,"16,425.60","16,456.40","16,595.40","16,414.60",173.25K,-0.19%
2022년 11월 26일,"16,456.50","16,512.30","16,686.30","16,387.90",194.94K,-0.34%
2022년 11월 25일,"16,512.30","16,600.60","16,611.80","16,360.90",204.07K,-0.54%
2022년 11월 24일,"16,601.20","16,604.90","16,785.60","16,472.00",229.59K,-0.14%
2022년 11월 23일,"16,623.90","16,216.90","16,677.60","16,162.30",305.08K,2.53%
2022년 11월 22일,"16,212.90","15,776.60","16,274.60","15,620.40",287.21K,2.77%
2022년 11월 21일,"15,776.20","16,278.60","16,287.90","15,504.20",372.15K,-3.13%
2022년 11월 20일,"16,286.70","16,699.30","16,749.30","16,209.20",172.83K,-2.47%
2022년 11월 19일,"16,699.20","16,652.20","16,814.90","16,608.90",114.89K,0.37%
2022년 11월 18일,"16,638.30","16,715.40","16,846.30","16,553.00",241.96K,-0.32%
2022년 11월 17일,"16,691.20","16,540.50","16,739.70","16,425.80",257.00K,0.91%
2022년 11월 16일,"16,540.50","16,895.40","16,993.40","16,408.20",295.73K,-2.10%
2022년 11월 15일,"16,895.10","16,615.00","17,112.00","16,543.90",337.15K,1.69%
2022년 11월 14일,"16,613.70","16,325.00","17,158.40","15,834.00",442.46K,1.77%
2022년 11월 13일,"16,324.50","16,803.90","16,946.50","16,274.90",210.80K,-2.80%
2022년 11월 12일,"16,795.20","17,049.90","17,100.80","16,633.90",192.91K,-1.49%
2022년 11월 11일,"17,049.90","17,589.10","17,679.40","16,435.50",466.35K,-3.07%
2022년 11월 10일,"17,589.10","15,887.00","18,138.20","15,799.30",720.74K,10.71%
2022년 11월 09일,"15,886.90","18,538.90","18,583.80","15,603.30",869.57K,-14.25%
2022년 11월 08일,"18,527.40","20,589.00","20,667.50","17,260.00",865.10K,-10.01%
2022년 11월 07일,"20,589.00","20,916.30","21,055.40","20,410.50",414.24K,-1.56%
2022년 11월 06일,"20,916.30","21,298.70","21,360.40","20,901.00",242.26K,-1.81%
2022년 11월 05일,"21,301.60","21,145.70","21,464.70","21,084.10",261.23K,0.74%
2022년 11월 04일,"21,145.90","20,206.40","21,281.90","20,184.60",499.50K,4.65%
2022년 11월 03일,"20,206.40","20,154.00","20,384.50","20,066.60",347.23K,0.26%
2022년 11월 02일,"20,154.40","20,482.90","20,778.30","20,065.80",420.23K,-1.61%
2022년 11월 01일,"20,483.50","20,496.10","20,676.60","20,348.10",302.72K,-0.06%
2022년 10월 31일,"20,496.30","20,626.00","20,822.40","20,260.00",327.47K,-0.63%
2022년 10월 30일,"20,626.30","20,809.40","20,922.30","20,522.50",207.63K,-0.88%
2022년 10월 29일,"20,809.80","20,594.20","21,038.10","20,561.90",276.54K,1.05%
2022년 10월 28일,"20,594.40","20,293.00","20,744.00","20,058.20",318.90K,1.49%
2022년 10월 27일,"20,292.90","20,769.50","20,867.90","20,231.60",365.49K,-2.29%
2022년 10월 26일,"20,769.50","20,086.80","20,981.50","20,062.90",427.99K,3.42%
2022년 10월 25일,"20,082.70","19,331.80","20,406.90","19,249.00",371.54K,3.89%
2022년 10월 24일,"19,331.50","19,571.20","19,588.60","19,177.20",286.94K,-1.22%
2022년 10월 23일,"19,571.20","19,204.80","19,680.90","19,092.50",180.63K,1.91%
2022년 10월 22일,"19,204.80","19,162.60","19,249.90","19,116.10",118.24K,0.22%
2022년 10월 21일,"19,162.60","19,042.90","19,245.50","18,703.30",294.66K,0.63%
2022년 10월 20일,"19,042.90","19,125.10","19,334.50","18,935.60",253.20K,-0.42%
2022년 10월 19일,"19,123.90","19,328.20","19,358.60","19,101.20",209.28K,-1.06%
2022년 10월 18일,"19,328.20","19,548.40","19,692.90","19,102.80",290.07K,-1.13%
2022년 10월 17일,"19,548.20","19,262.20","19,663.50","19,163.60",248.40K,1.49%
2022년 10월 16일,"19,261.90","19,068.80","19,411.90","19,066.00",140.95K,1.01%
2022년 10월 15일,"19,068.70","19,181.70","19,218.70","19,000.80",123.66K,-0.59%
2022년 10월 14일,"19,181.80","19,379.80","19,933.90","19,098.60",400.45K,-1.02%
2022년 10월 13일,"19,379.80","19,154.60","19,494.40","18,207.90",455.13K,1.17%
2022년 10월 12일,"19,154.80","19,058.50","19,212.60","19,010.60",242.18K,0.50%
2022년 10월 11일,"19,059.10","19,134.30","19,261.30","18,868.70",288.57K,-0.39%
2022년 10월 10일,"19,134.60","19,441.70","19,520.70","19,057.00",243.77K,-1.58%
2022년 10월 09일,"19,441.00","19,416.30","19,552.10","19,329.60",127.53K,0.13%
2022년 10월 08일,"19,415.00","19,530.20","19,612.20","19,274.70",113.50K,-0.60%
2022년 10월 07일,"19,531.30","19,962.40","20,051.40","19,352.10",263.50K,-2.13%
2022년 10월 06일,"19,956.70","20,157.50","20,436.70","19,873.70",370.60K,-1.00%
2022년 10월 05일,"20,157.50","20,340.50","20,353.80","19,761.70",352.76K,-0.90%
2022년 10월 04일,"20,340.20","19,629.70","20,436.10","19,506.40",368.17K,3.63%
2022년 10월 03일,"19,628.30","19,057.60","19,676.00","19,001.30",333.03K,3.02%
2022년 10월 02일,"19,052.20","19,311.90","19,389.90","18,937.30",222.82K,-1.34%
2022년 10월 01일,"19,311.90","19,422.90","19,480.30","19,172.60",173.91K,-0.57%
2022년 09월 30일,"19,423.00","19,593.40","20,174.90","19,208.90",490.29K,-0.87%
2022년 09월 29일,"19,593.00","19,420.20","19,631.50","18,877.90",449.57K,0.94%
2022년 09월 28일,"19,411.00","19,083.40","19,757.80","18,505.30",581.19K,1.73%
2022년 09월 27일,"19,081.00","19,228.80","20,361.20","18,850.40",660.12K,-0.75%
2022년 09월 26일,"19,225.70","18,803.10","19,304.80","18,695.20",516.03K,2.25%
2022년 09월 25일,"18,803.20","18,925.10","19,125.10","18,659.60",209.71K,-0.64%
2022년 09월 24일,"18,925.20","19,288.40","19,310.60","18,812.00",258.50K,-1.91%
2022년 09월 23일,"19,293.50","19,404.10","19,477.30","18,554.80",431.15K,-0.57%
2022년 09월 22일,"19,404.00","18,488.10","19,490.90","18,371.00",448.63K,4.95%
2022년 09월 21일,"18,489.00","18,875.10","19,758.40","18,191.80",446.85K,-2.03%
2022년 09월 20일,"18,872.40","19,538.90","19,626.30","18,742.60",361.18K,-3.41%
